date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:18	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2009:29:18%20GMT	http://testphp.vulnweb.com/robots.txt		(from )
14:59:19	4958/4958	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:18%20GMT	http://testphp.vulnweb.com/	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/index.html	(from )
14:59:19	5482/5482	---M--	200	added ('OK')	text/css	etag:%224dca64a4-156a%22	http://testphp.vulnweb.com/style.css	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/style.css	(from http://testphp.vulnweb.com/)
14:59:19	6660/6660	---M--	200	added ('OK')	image/gif	etag:%224dca64a2-1a04%22	http://testphp.vulnweb.com/images/logo.gif	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/images/logo.gif	(from http://testphp.vulnweb.com/)
14:59:20	4958/4958	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:19%20GMT	http://testphp.vulnweb.com/index.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/index-2.html	(from http://testphp.vulnweb.com/)
14:59:20	6115/6115	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:20%20GMT	http://testphp.vulnweb.com/categories.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/categories.html	(from http://testphp.vulnweb.com/)
14:59:20	5328/5328	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:20%20GMT	http://testphp.vulnweb.com/artists.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/artists.html	(from http://testphp.vulnweb.com/)
14:59:21	5524/5524	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:20%20GMT	http://testphp.vulnweb.com/disclaimer.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/disclaimer.html	(from http://testphp.vulnweb.com/)
14:59:21	4903/4903	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:21%20GMT	http://testphp.vulnweb.com/cart.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/cart.html	(from http://testphp.vulnweb.com/)
14:59:21	5390/5390	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:21%20GMT	http://testphp.vulnweb.com/guestbook.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/guestbook.html	(from http://testphp.vulnweb.com/)
14:59:22	4236/4236	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:21%20GMT	http://testphp.vulnweb.com/AJAX/index.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/AJAX/index.html	(from http://testphp.vulnweb.com/)
14:59:22	5523/5523	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:22%20GMT	http://testphp.vulnweb.com/login.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/login.html	(from http://testphp.vulnweb.com/)
14:59:22	14/14	---MC-	302	error ('Found')	text/html	date:Tue,%2003%20May%202022%2009:29:22%20GMT	http://testphp.vulnweb.com/userinfo.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/userinfo.php	(from http://testphp.vulnweb.com/)
14:59:23	17418/17418	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%224dca64a1-440a%22	http://testphp.vulnweb.com/Flash/add.swf	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/Flash/add.swf	(from http://testphp.vulnweb.com/)
14:59:23	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20May%202022%2009:29:23%20GMT	http://testphp.vulnweb.com/privacy.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/privacy.php	(from http://testphp.vulnweb.com/)
14:59:23	203/203	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:23%20GMT	http://testphp.vulnweb.com/hpp/	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/hpp/index.html	(from http://testphp.vulnweb.com/)
14:59:23	975/975	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:23%20GMT	http://testphp.vulnweb.com/Mod_Rewrite_Shop/	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/Mod_Rewrite_Shop/index.html	(from http://testphp.vulnweb.com/)
14:59:24	14/14	---MC-	302	error ('Found')	text/html	date:Tue,%2003%20May%202022%2009:29:23%20GMT	http://testphp.vulnweb.com/userinfo.php	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/userinfo.d.delayed	(from http://testphp.vulnweb.com/index.php)
14:59:24	7880/7880	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2009:29:24%20GMT	http://testphp.vulnweb.com/listproducts.php?cat=1	C:/Users/Harshal/Desktop/udit/testphp.vulnweb.com/listproductsb31a.html	(from http://testphp.vulnweb.com/categories.php)
